Do you think there is a thing that more important than a life?,命よりも大切ななにかがある,Yes I do.,ある,No I don't.,ない,
Do you have a belief?,誰に言われても曲げることのない信念がある,Yes I do.,ある,No I don't.,ない,
Do you like yourself?,自分のことが好きかどうか,Yes I do.,好き,No I don't like myself.,嫌い,
Which do you like?,夏と冬どっちが好き？,Summer,夏,Winter,冬,
What would you do if you found a person in trouble?,困ってる人がいたらどうする？,I would help him.,助ける,I would do nothing.,何もしない,
Do you think you would love things that you love now if you reborn?,自分が好きなものを生まれ変わっても好きになる？,I would definitely love them.,絶対に好きになる,I might not love them.,ならないかもしれない,
When do you relax more?,一人でいるときと誰かといるとき、どっちが落ち着く？,When you are alone.,一人,When you are with someone.,誰かといるとき,
Do you think yourself are an "adult"?,自分を「大人」だと思っている？,No I am still a child.,まだ子どもだと思っている,Yes I think I am an adult.,大人だと思っている,
Do you feel you are watched over by someone?,自分は誰かに守られていると感じている？,Yes / Maybe yes,感じるている、もしくは感じる時がある,No I don't.,特に感じない,
Are you happy now?,今、幸せですか？,I would rather say yes.,どちらかといえば幸せ,I would rather say no.,どちらかといえば不幸,
