Do you often experience deja vu?,普段デジャブを体験スル？,Yes I do.,はい,No I don't.,いいえ
Which do you believe?,信じるとしたら,your own memory,自分の記憶,someone's memory,他人の記憶
Well..it might be.,きっとそうだろうな,Yes it might be.,はい、きっと。,No...may be...,いいえ、おそらく。
Is it that?,あれはそれ？,Yes that is it.,はい、あれはそれ。,No it is that.,いいえ、それはあれ。
There is a thing that only I can see.,自分にしか見えないものがある,Yes,はい,No,いいえ
To be honest you see the magical power?,実は魔力が見える,Yes I do,はい,No I don't,いいえ
Which would you choose?,なんとなく選ぶとしたら,three,木 (き),mountain,山 (やま)
Things are filled with memories?,思い出はモノに詰まってる？,Yes,はい,No,いいえ
Does it remind you that time?,それを見たらあの時を思いだす,Yes,はい,No,いいえ
Where is memory do you think?, 記憶ってどこにあるの？,brain/heart/body,脳・心・身体,things/space/environment,モノ・空間・環境
