Have you ever made a pitfall?,落とし穴を作ったことある？,Yes I have.,ある,No I haven't.,ない
What do you think about during a boring meeting?,つまらない会議の間何を考えている？,things you want to do,やりたいこと,a person you like,好きなひとのこと
"Love" is all about?,愛こそ,Yes,すべて,No,すべてではない
Do you believe in invisible existence?,目に見えないものの存在を,Yes I do.,信じる,No I don't.,信じない
You have a trauma?,トラウマが,Yes,ある,No,ない
When do you fell happy?,幸せを感じるのは？,when being by myself,ひとりでいるとき,when being with someone,他の人といるとき
Do you drink alcohol when you are alone?,ひとりでも,Yes,飲む,No,飲まない
I am,自分は,an adult.,もうさすがに大人,still a child.,まだぜんぜん子供
What do you see when you walk?,歩いているときどこを見てる？,a person passing by,向こうから来る人,scenery around,周りの景色
"Truth",本当のこと,I want to know.,知りたい,I don't want to know.,知りたくない
