Do you think expression is necessary?,表現って必要？,Yes I do,必要,No I don't,必要ない
Do you often listen carefully?,耳をそばだてる時ある？,Yes,ある,No,ない
Do you want someone to understand?,理解してほしいと思う？,Yse,はい,No,いいえ
Do you often compare with someone?,人と比べることある？,Yes I do,ある,No I don't,ない
Do you like consuming?,消費が好き？,Yes I do,好き,No I don't,好きでない
Do you want to buy as much as you can at a 100 yen shop?,いやというほど100均で買い物したい？,Yes I do,してみたい,No I don't,別にしたくない
Do you like young people these days?,最近の若者は好き？,Yes I do,好き,No I don't,嫌い
Did you feel good when you watched the TV program "Hanzawa Naoki"?,半沢直樹見て、スッキリした？,Yes I did,した,No I didn't,してない
Do you want to go overseas soon?,早く海外旅行に行きたい？,Yes I do,行きたい,No I don't,行きたくない
Do you want to go and see this event?,このイベント見てみたい？,Yes I do,見たい,No not really,特に行きたいと思わない
