Do you want to practice?,練習したい？,Yes I do.,したい,No I don't.,したくない,
Want a nice pen?,いいペンがほしい？,Yes,ほしい,No,いらない,
Have you ever had a fracture?,骨折したことがある？,Yes I have.,ある,.,ない,
Time,時間は,I want more!,もっとたくさんほしい,I would give it to someone.,誰かにあげたい
Do you think a flower and a leaf is different?,花と葉って違うと思う？,it could be.,違うかも,it might be the same,同じかも,
What is the difference between the daytime and the night?,昼と夜の差は？,brightness,明るさ,temperature,温度,
Can you imagine the inside of the soil where cactus is planted?,サボテンの土の中を想像できる？,Yes I can.,できる,No I can't.,できない,
Do you have any exciting event next year?,来年の楽しみがある？,Yes!,ある,No...,ない,
Are you happy if you know?,知れたらうれしい？,Yes I think so.,そう思う,No I don't think so.,そうは思わない,
Ended up as you want?,思い通りになった？,Yes,なった,No,ならなかった,
