What do you look at when you taking a walk?,さんぽ中、つい見てしまうのは？,plants at house around,人の家の植物,window of a house,人の家の窓
When you sleep lights are?,寝る時、電気を消す？,OFF,消す,ON,消さない
What bedding do you use?,いつも使う寝具は,Bed,ベッド,Futon,敷布団
Do you like walking?,歩くのは好き？,Yes I do,はい,No i don't,いいえ
Do you dream?,よく夢を,often,見る,rarely,見ない
What would you do when you visit a town you don't know?,知らない場所に行ったら,walking around,町を散歩する,looking for a cafe,喫茶店を探す
Do you usually use a pillow?,寝る時、枕を使う？,Yes,使う,No,使わない
Do you good at remembering directions?,道を覚えるのは得意？,Yes,はい,No,いいえ
What do you tend to do when you take a walk?,散歩中よくすることは？,Listening to music,音楽を聴く,Thinking about something,考えごと
Have you ever slept outdoor?,屋外で寝たことある？,Yes,ある,No,ない
